Nama Hotel,Rating,Bintang,Harga,Alamat,Image,Budget_Range,Id_hotel
ARTOTEL Suites Bianti,"4,60",Hotel bintang 5,13500000,"Jl. Urip Sumoharjo No.37, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",https://lh5.googleusercontent.com/p/AF1QipPLtHKSejgJkQ3Faq9QnAhEDqEktEa4zZYYBpE8=w408-h287-k-no,Expensive,52
Hotel Tentrem Yogyakarta,"4,80",Hotel bintang 5,5148675,"Jl. P. Mangkubumi No.72A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh5.googleusercontent.com/p/AF1QipNFsnG3rSGQbAa5ByRTbRs4CiX30OCrg79GvZbQ=w408-h242-k-no,Expensive,62
Hotel Tjokro Style,"4,40",Hotel bintang 3,2707078,"Jl. Menteri Supeno No.48, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",https://lh5.googleusercontent.com/p/AF1QipMRm4-36sU17grimKEVBV4EFiGMj0CZ4ourHnEX=w408-h272-k-no,Expensive,63
Jambuluwuk Malioboro Hotel Yogyakarta,"4,40",Hotel bintang 5,2573994,"Jl. Gajah Mada No.67, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",https://lh5.googleusercontent.com/p/AF1QipN0DAYTaLzkIfDBiceX5EkhZ_Lweir_MPrZwZ6H=w408-h272-k-no,Expensive,33
THE 1O1 Yogyakarta Tugu,"4,70",Hotel bintang 4,2511000,"THE 1O1 Yogyakarta, Jl. Margo Utomo No.103, Tugu, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",https://lh5.googleusercontent.com/p/AF1QipOaHxQVtLK2iKXUApAO97nw9ZMkgmrD38Gwn8G2=w408-h271-k-no,Expensive,64
FORRIZ Hotel Yogyakarta,"4,50",Hotel bintang 4,2176670,"Jl. HOS Cokroaminoto No.60, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",https://lh3.googleusercontent.com/gps-proxy/AMy85WJc9NWLX9kwTCI5ZqGqsyQI8u6lL0WPyOlVAcM9MR7WtTBCE0tTZ0oGZ_ytJTZGMpWELUrs0T49JNvyLyn-aHRrjtNqan8O3rlBDd-FEYi1BVC62zkeJOelprRFowLqu6rftfZ-EKxEb2thOGbWoRX0oM3rP0vfM_Kx0MgwY_01i8qEqwKZI6TB=w408-h272-k-no,Expensive,34
Meliá Purosani Yogyakarta,"4,60",Hotel bintang 5,2040000,"Jl. Mayor Suryotomo No.31, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",https://lh5.googleusercontent.com/p/AF1QipPcgNNhBtV3f8kPMjX3tAR9zZdilhfgcXpxVmtw=w408-h510-k-no,Expensive,19
Hotel Harper Malioboro,"4,70",Hotel bintang 4,1987475,"Harper malioboro yogyakarta, Jl. P. Mangkubumi No.52, Gowongan, Jetis, Yogyakarta City, Special Region of Yogyakarta 55232",https://lh5.googleusercontent.com/p/AF1QipN-mcXhvo5jsDaCYp9opNI9ICN6t2O3t6PsbwX6=w408-h272-k-no,Expensive,28
Hotel Santika Premiere Jogja,"4,60",Hotel bintang 4,1885121,"Jl. Jend. Sudirman No.19, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh5.googleusercontent.com/p/AF1QipM7WqmE0ThxAlanSP3aDiBEk5YToUKLWA6RfDGo=w424-h240-k-no,Expensive,61
Hotel Neo Malioboro,"4,50",Hotel bintang 3,1648720,"Jl. Ps. Kembang No.21, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipMN4GhmB-nUoYjDe7GvT3X19xLLIZwvMRQRzw2a=w408-h271-k-no,Expensive,35
Hotel Neo Malioboro,"4,50",Hotel bintang 3,1648720,"Jl. Ps. Kembang No.21, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipMN4GhmB-nUoYjDe7GvT3X19xLLIZwvMRQRzw2a=w408-h271-k-no,Expensive,41
Novotel Suites Yogyakarta Malioboro,"4,70",Hotel bintang 4,1539208,"Jl. Malioboro No.52 - 58, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55001",https://lh5.googleusercontent.com/p/AF1QipM34DylndQ9pLT0IUhv7Lye1b6-JM19chLnVxy8=w408-h272-k-no,Expensive,16
Grand Zuri Malioboro,"4,70",Hotel bintang 4,1529609,"Jl. P. Mangkubumi No.18, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",https://lh3.googleusercontent.com/gps-proxy/AMy85WKQ8yoqTpDGyiD5WRsuJyyrOl1LduCL4qnvJmGX8vd-5WEuHUYdyzET78inFYFuYpcJrzqc6ueH10I5LveYZIa3PE3h7Kx8xdaq3zuE-JNRN-dsAq7OeaxjoDox_-1mdm41ZHhq1EO3rR61gi5gzT-1JxqXD-9Ok3ac0m46Q9jijFz2sVE-G30=w408-h544-k-no,Expensive,27
The Alana Malioboro,"4,70",Hotel bintang 4,1513610,"Jl. Mayjend Sutoyo No.52, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",https://lh5.googleusercontent.com/p/AF1QipM-OsDTT9Wyp7s5pID-guJcw4oArGaHWrk0kBUQ=w425-h240-k-no,Expensive,29
D'Senopati Malioboro Grand Hotel,"4,50",Hotel bintang 3,1495849,"Jl. Panembahan Senopati No.40, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121",https://lh3.googleusercontent.com/gps-proxy/AMy85WLd_MkL1D_3ZJNEINcBXXkHb2-h5jWiqoGis8S6BgIGbNrgtlAr1nHtzcKdwpvo63L3V5m1oFQOn9Iq-HL8vtaSb-Vo-IMZ7ILR2vMR_KkZKuiCq3b5grPWCoTM_Fympor0adtOkjxWLb5ebygdtbzzIHk0vbq5JwfbKZUPHWLKBrik4OSdukZRxA=w408-h270-k-no,Moderate,11
éL Hotel Yogyakarta Malioboro,"4,60",Hotel bintang 4,1458317,"Jl. Dagen No.6, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipPqpjO5vaQ8miqBHD_VlGQNAnE_zPryAvKrDMOW=w426-h240-k-no,Moderate,31
Ayaartta Hotel Malioboro,"4,40",Hotel bintang 3,1415250,"Jl. KH. Ahmad Dahlan No.123, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55262",https://lh3.googleusercontent.com/gps-proxy/AMy85WJw0c8NRWulaPqS3mx0cnSwud39Gfs3PrqyuuyEs_F_8saNiMnmjOhEybfyF9ywdAs1zEEwCz1qi_hJwj0yAnUNAn417gxmfc_Dah1uxUfmuaahn18aOHTHyrOtyiuSJyi0peedmgksJWfE0UTicwvfRgQLLg1NAnKDhMQFttLRYfQSNvDst1Xe=w476-h240-k-no,Moderate,8
favehotel Malioboro Yogyakarta,"4,50",Hotel bintang 3,1386060,"Jl. I Dewa Nyoman Oka No.30, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",https://lh5.googleusercontent.com/p/AF1QipMbM2-09lbBNwNgRhoONvSUQyyq3HAjWZUxOIw=w408-h274-k-no,Moderate,22
H -Boutique Hotel Jogjakarta,"4,30",Hotel bintang 3,1368900,"Jl. Prof. Herman Yohanes No.1, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",https://lh3.googleusercontent.com/gps-proxy/AMy85WKNp0JLAU78Y2l1Nhx48N51q2l837t3tKZVQ6kAmKhbYR3Gb8zIKKwNmsRvMJGRbo64_o1_DY7UsIEH8xmLOIlYBePmVoVN4K2c4gaBMTKIIF5mSqmzxbtReMrn6e_WoFXkUc1Q-R-Z5oZzpo-LZCcavPPXhg9lXFKr0zo6iJ6RyRgNoeXWIBNmZw=w408-h272-k-no,Moderate,21
All Nite & Day Hotel Yogyakarta - Gejayan,"4,20",Hotel bintang 3,1332000,"Jl. Affandi No.17C, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",https://lh3.googleusercontent.com/gps-proxy/AMy85WLGgL5IoO8MgwbnEdbF40VEsHPZHbc59cuo1Q5cOLwVkP4WhRmkHei6NXS5SRAo_F7dVCqhfu6hlSB3NOK1IdKKj8jWgmP473HL4zi3Xf_ilwik25qlKUQEwZu1J53gJ0HnSLYMLVGoCAQ5a0NA5mH26qH29MrcOwEBPL6-c304QXHHYrjHiC1Rjg=w408-h306-k-no,Moderate,7
Cavinton Hotel Yogyakarta by Tritama Hospitality,"4,50",Hotel bintang 4,1321536,"Jl. Letjen Suprapto No.1, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",https://lh5.googleusercontent.com/p/AF1QipPwfDkMqvKVf7MvyUmbtq--PMGY1RoDVknWj7f2=w408-h272-k-no,Moderate,6
Abadi Malioboro Jogja by Tritama Hospitality,"4,40",Hotel bintang 4,1203198,"Jl. Ps. Kembang No.49, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipOzGKG3DEOazgSlOi74vo9CDD8ksZR4BLjRkYVl=w408-h408-k-no,Moderate,32
Malyabhara Hotel,"4,70",Hotel bintang 3,1184333,"Jl. Malioboro No.52 - 58, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",https://lh3.googleusercontent.com/gps-proxy/AMy85WJSeODkN_PROCHJHl3-njisnrlFCMD-P8ASjBqIY8Yd-2dN6LfK_Z8BhF6edNkWXTv5XH-IrPTnn4biDrqsCyLhcHCa70qVQEHNBZwho0KansTyg0rhnnY9tgjzKfbxH0OPTr8aj6SgkShqmJAcr8zCGky377t6Zy7DIrbk_GOggXzrKfFk-v9b=w408-h544-k-no,Moderate,1
Hotel Cordela Kartika Dewi Malioboro Yogyakarta,"4,40",Hotel bintang 3,1082013,"Jl. Bhayangkara No.35, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261",https://lh5.googleusercontent.com/p/AF1QipO92V-n9nJoUdObpKWTZzKIAH2FEPPMNuojFvK1=w408-h347-k-no,Moderate,25
Grand Kangen Hotel Urip Sumoharjo Yogyakarta,"4,30",Hotel bintang 3,1064177,"Jl. Urip Sumoharjo No.137, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",https://lh5.googleusercontent.com/p/AF1QipPtO43WI6Sga6GKw8ydEreaQz3LefIE93QK4JB3=w408-h611-k-no,Moderate,9
Java Villas Boutique Hotel & Resto,"4,50",Hotel bintang 3,977343,"Jl. Gerilya No.460, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",https://lh5.googleusercontent.com/p/AF1QipOw9PTZ3c3eo4rbZrgplqHLs5_Oo0VuKOIF9qfv=w426-h240-k-no,Moderate,20
Hotel Malioboro Inn Yogyakarta,"4,20",Hotel bintang 2,969000,"Jl. Sosrowijayan No.23 - 25, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipP5WIpSwsix0OQmCOwZgt3ZldrnaKe2XG0wBAkv=w491-h240-k-no,Moderate,24
HOTEL FORTUNAGRANDE MALIOBORO YOGYAKARTA (formerly - Dafam Fortuna Malioboro),"4,50",Hotel bintang 3,907939,"Jl. Malioboro Jl. Dagen No.60, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipO-VA9UPPPZhoYbVilrUVwWJjSabRoXMb54PB5f=w408-h291-k-no,Moderate,18
Luxury Malioboro Yogyakarta Hotel,"4,30",Hotel bintang 3,885416,"Jl. Gowongan Kidul No.57, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipN6orafu9bR56b647SHf5Mf9jS1UQ-kTLZDCxf0=w426-h240-k-no,Moderate,2
Gaia Cosmo Hotel,"4,60",Hotel bintang 4,867943,"Jl. Ipda Tut Harsono No.16, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",https://lh5.googleusercontent.com/p/AF1QipNlKIXikrmSN_yCP0l2v-QVMp7E4737rFFcuVL5=w426-h240-k-no,Moderate,13
ARTE Hotel Malioboro Yogyakarta,"4,50",Hotel bintang 3,799408,"Jl. Ps. Kembang No.53, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipOfnWg480_KZ0dhOZ248yTVfiX0L5kLRNAS5Px8=w408-h272-k-no,Moderate,14
Hotel New Saphir Yogyakarta,"4,50",Hotel bintang 4,789222,"Jl. Laksda Adisucipto No.38, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55221",https://lh5.googleusercontent.com/p/AF1QipPbfeA-1Rbs9Thy0JYNpUixX70FtVvZoMhUWBpS=w408-h272-k-no,Moderate,60
Kalya Hotel Yogyakarta,"4,20",Hotel bintang 3,737585,"Jl. Gedongkuning No.118, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",https://lh3.googleusercontent.com/gps-proxy/AMy85WJpRH8wBrGIOCc8K1cDcrdvwiRio1v60WAowjg0ClmvpiD9W47KlaOTebvaNHC4p-KTLJ3ZsEpU0Zq6R69PyukdhhsirWVRS9f2h3TNxpTNx4-apI1cS2KzhM9cdGKf4z32c3Rfsc59rdzQu9B64Uoy6NasMQ9gGMtBshGfLQHsKnPvBYw5UgU2kA=w408-h306-k-no,Moderate,12
KHAS Malioboro Hotel Yogyakarta,"4,40",Hotel bintang 3,727931,"Jl. Gadean No.3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",https://lh5.googleusercontent.com/p/AF1QipOsI0EulCS8dyBsmjScshkje7Hqib09TOu8LH8a=w466-h240-k-no,Moderate,51
